Bubblesort|25000|i|5132697561
Bubblesort|50000|i|15339228402
Bubblesort|75000|i|35636979713
Bubblesort|100000|i|63207232160
Bubblesort|125000|i|106022183143
Bubblesort|150000|i|175983725864
Bubblesort|175000|i|228418674265
Bubblesort|200000|i|318352825985
Bubblesort|225000|i|385706144070
Bubblesort|250000|i|499494132113
Bubblesort|275000|i|587844559583
Bubblesort|300000|i|720064423575
Bubblesort|325000|i|795925503868
Bubblesort|350000|i|940964272397
Bubblesort|375000|i|1117088448625
Bubblesort|400000|i|1272691382938
Bubblesort|425000|i|1437147438999
Bubblesort|450000|i|1541630959824
Bubblesort|475000|i|1798664604755
