Bubblesort|25000|d|5065272069
Bubblesort|50000|d|15682788760
Bubblesort|75000|d|35736209249
Bubblesort|100000|d|61765595543
Bubblesort|125000|d|101109997171
Bubblesort|150000|d|166822037678
Bubblesort|175000|d|215310821439
Bubblesort|200000|d|298467742546
Bubblesort|225000|d|372361578429
Bubblesort|250000|d|468066220602
Bubblesort|275000|d|567699501701
Bubblesort|300000|d|675355703856
Bubblesort|325000|d|778961460446
Bubblesort|350000|d|925236242595
Bubblesort|375000|d|1066544505097
Bubblesort|400000|d|1173009544784
Bubblesort|425000|d|1388474293016
Bubblesort|450000|d|1583552839077
Bubblesort|475000|d|1780624243402
